name,tourism,county,subcounty,constituency
Mahi Mahiu Longonot View Point,viewpoint,Kiambu,Lari,Lari/Kirenga
Sala's Hill,viewpoint,Narok,Narok West,Siana
2nd Peak,viewpoint,Narok,Narok East,Keekonyokie
EDMUNDS,picnic_site,Kilifi,Kilifi North,Tezo
Lamu Museum,museum,Lamu,Lamu West,Mkomani
Ogres Beads Workshop,artwork,Lamu,Lamu West,Mkomani
The old house workshop,artwork,Lamu,Lamu West,Mkomani
The Judiciary Museum,museum,Nairobi,Starehe,Nairobi Central
Makalia Falls viewpoint,viewpoint,Nakuru,Nakuru Town East,Nakuru East
Lake Chala Viewpoint,viewpoint,Taita Taveta,Taveta,Mahoo
Shaba Mountain,yes,Isiolo,Isiolo North,Ngare Mara
German Post Office,museum,Lamu,Lamu West,Mkomani
Delta Dunes Car Park,viewpoint,Tana River,Garsen,Kipini West
Baraka Gallery,artwork,Lamu,Lamu West,Mkomani
Equator,viewpoint,Nandi,Aldai,Kobujoi
Lake Bogoria viewpoint,viewpoint,Baringo,Mogotio,Kisanana
Shaba Main Viewpoint,viewpoint,Isiolo,Isiolo North,Ngare Mara
River Viewpoint,viewpoint,Isiolo,Isiolo North,Ngare Mara
Sunset Viewpoint,viewpoint,Isiolo,Isiolo North,Ngare Mara
Sunrise viewpoint,viewpoint,Isiolo,Isiolo North,Ngare Mara
Lgoita Rocks Sundowner Spot,viewpoint,Samburu,Samburu East,Waso
Lowa Mara Viewpoint,viewpoint,Samburu,Samburu East,Waso
Chimpanzee Enclosure,zoo,Laikipia,Laikipia North,Segera
Sundowner/ Sunrise Spot,viewpoint,Samburu,Samburu East,Wamba West
Lion Rock,viewpoint,Laikipia,Laikipia North,Umande
Subukia View Point,viewpoint,Laikipia,Laikipia West,Igwamiti
Hippo viewpoint,viewpoint,Kisumu,Kisumu Central,Nyalenda B
Impala Picnic Site,picnic_site,Kisumu,Kisumu Central,Market Milimani
Sundowner Tower,viewpoint,Kisumu,Kisumu Central,Market Milimani
River Viewpoint,viewpoint,Isiolo,Isiolo North,Ngare Mara
Sera Conservancy - Gong Rock Campsite,camp_pitch,Samburu,Samburu East,Waso
Shaba Dudubatu Special Campsite,camp_pitch,Isiolo,Isiolo North,Ngare Mara
Incredible view,viewpoint,Meru,Buuri,Kisima
Lesiolo valley,viewpoint,Samburu,Samburu West,Loosuk
Muchingoi Viewpoint,viewpoint,Baringo,Baringo South,Mochongoi
Lake Paradise Viewpoint,viewpoint,Marsabit,Saku,Marsabit Central
Equator,viewpoint,Nandi,Tinderet,Chemelil/Chemase
View point Baringo,viewpoint,Baringo,Baringo South,Ilchamus
Kapkoi kwa Dan,artwork,Trans Nzoia,Kwanza,Kwanza
River view,viewpoint,Vihiga,Hamisi,Muhudu
Marker No 16,viewpoint,Nyeri,Kieni,Mweiga
Turn for sandai farms,viewpoint,Nyeri,Kieni,Mwiyogo/Endarasha
Chania Falls Public Campsite,camp_pitch,Nyeri,Tetu,Dedan Kimanthi
Chania Campsite,camp_pitch,Nyeri,Tetu,Dedan Kimanthi
Mwea NR Mbogo Public Campsite,camp_pitch,Embu,Mbeere South,Makima
Kamburu_Dam_Viewpoint,viewpoint,Embu,Mbeere South,Makima
Kiangoci Campsite,camp_pitch,Machakos,Masinga,Masinga Central
Mwea NR Riverside Campsite,camp_pitch,Embu,Mbeere South,Makima
Canyon human made,viewpoint,Nakuru,Naivasha,Viwandani
Sundowner Spot,viewpoint,Nyeri,Kieni,Gakawa
Picinic site at end of Buffalo Circuit,picnic_site,Nakuru,Naivasha,Olkaria
Cliff Base picnic site,picnic_site,Nakuru,Naivasha,Olkaria
Dragon's Teeth Campsite,camp_pitch,Nyandarua,Ndaragwa,Shamata
Zebra and giraffe free safari,viewpoint,Nakuru,Naivasha,Lake View
Roadhead Chogoria,picnic_site,Meru,South Imenti,Igoji West
Western Terminal,viewpoint,Meru,Buuri,Timau
Little waterfalls and good view,viewpoint,Nandi,Emgwen,Kilibwoni
Athletics Museum,museum,Nairobi,Langata,Nairobi West
Elben Historical Site,museum,Wajir,Tarbaj,Elben
Tribal Gallery,gallery,Nairobi,Westlands,Kitisuru
Fundii Centre for the Arts,gallery,Nairobi,Westlands,Parklands/Highridge
Baboon Cliffs,picnic_site,Kajiado,Kajiado East,Kitengela
Ngong viewpoint,viewpoint,Nairobi,Langata,Karen
Sheldrick's Blind,viewpoint,Kitui,Kitui South,Athi
Kwa Waita,gallery,Makueni,Makueni,Nzaui/Kilili/Kalamba
KAY-EM HOUSE,viewpoint,Kwale,Matuga,Tsimba Golini
Olorgesailie Prehistoric Site,museum,Kajiado,Kajiado West,Keekonyokie
Corner baridi,viewpoint,Kajiado,Kajiado West,Keekonyokie
Creative Garage,gallery,Nairobi,Dagoretti North,Kilimani
View on lake,viewpoint,Nakuru,Gilgil,Mbaruk/Eburu
Lake view point,viewpoint,Nakuru,Naivasha,Olkaria
Ranger's post,picnic_site,Nakuru,Naivasha,Olkaria
Out of Africa Picnic Site,picnic_site,Nakuru,Njoro,Kihingo
Flamingo Viewpoint,viewpoint,Nakuru,Nakuru Town West,Barut
Narok Museum,museum,Narok,Narok North,Narok Town
Nyamaches' home,viewpoint,Kisii,Nyaribari Chache,Kisii Central
Nyamaches',viewpoint,Kisii,Nyaribari Chache,Kisii Central
Birds view stp,viewpoint,Nakuru,Gilgil,Mbaruk/Eburu
Upper Lake view stp,viewpoint,Nakuru,Gilgil,Gilgil
Crater lake Viewpoint,viewpoint,Nakuru,Naivasha,Olkaria
Nyari Viewpoint,viewpoint,Kilifi,Kilifi North,Matsangoni
Hell's Kitchen,picnic_site,Nakuru,Naivasha,Olkaria
Music Store,artwork,Nairobi,Embakasi South,Kware
Bethel Baptist Church,artwork,Nairobi,Embakasi Central,Komarock
Pollman's Tours & Safaris,yes,Mombasa,Nyali,Ziwa La Ng'Ombe
Roaring Rocks Viewpoint,viewpoint,Taita Taveta,Voi,Ngolia
Poachers Lookout,viewpoint,Taita Taveta,Voi,Ngolia
Kimende Club Area,picnic_site,Kiambu,Lari,Kijabe
Lake Chala Viewpoint with lake access,viewpoint,Taita Taveta,Taveta,Mahoo
Mudanda Rock,viewpoint,Taita Taveta,Voi,Ngolia
Mount Suswa Crater Campsite 1,camp_pitch,Narok,Narok East,Keekonyokie
Mount Suswa Crater Campsite 2,camp_pitch,Narok,Narok East,Keekonyokie
Kasigau,viewpoint,Taita Taveta,Voi,Kasigau
Judgemnt cliff,viewpoint,Taita Taveta,Mwatate,Wusi/Kishamba
Picnic Site,picnic_site,Laikipia,Laikipia North,Umande
David Sheldrick Elephant Orphanage,zoo,Nairobi,Langata,Mugumu-Ini
Shaded Picnic Site (No facilities),picnic_site,Nyeri,Kieni,Thegu River
UCHIPI HILLS,theme_park,Siaya,Bondo,West Sakwa
St George Statue,artwork,Marsabit,Laisamis,Laisamis
Paradise Lost,picnic_site,Kiambu,Kiambu,Township
Lirhanda Hill,viewpoint,Kakamega,Shinyalu,Isukha Central
3rd World Viewpoint,viewpoint,Kiambu,Lari,Lari/Kirenga
Haller Park,zoo,Mombasa,Nyali,Ziwa La Ng'Ombe
Gede Ruins,museum,Kilifi,Kilifi North,Watamu
Equator,artwork,Laikipia,Laikipia North,Segera
African Heritage House,museum,Nairobi,Langata,Mugumu-Ini
House of Columns,museum,Kilifi,Malindi,Shella
Circle Art Agency,gallery,Nairobi,Dagoretti South,Ngando
Marker No 17,viewpoint,Nyeri,Kieni,Mweiga
Sundowner Viewpoint,viewpoint,Nyeri,Othaya,Mahiga
Animal Orphanage,zoo,Nyeri,Kieni,Gakawa
Loita Hills,viewpoint,Narok,Narok South,Loita
Loita Hills,viewpoint,Narok,Narok South,Loita
Kwa DA SHAMSA LIKONI,viewpoint,Mombasa,Likoni,Timbwani
MoonQue House,viewpoint,Mombasa,Likoni,Shika Adabu
Pungu villa,viewpoint,Mombasa,Likoni,Shika Adabu
Kisumu National Museum,museum,Kisumu,Kisumu Central,Market Milimani
"Busia immigration, Uganda",artwork,Busia,Matayos,Burumba
"Shield, Kenya",artwork,Kajiado,Kajiado South,Kuku
"Rhythms of Life, Kenya",artwork,Kajiado,Kajiado South,Kuku
Aussicht auf Fort Jesus,viewpoint,Mombasa,Mvita,Mji Wa Kale/Makadara
Lions Rock viewpoint,viewpoint,Taita Taveta,Mwatate,Bura
Birth in park Statue,artwork,Nairobi,Starehe,Nairobi Central
View on torok falls during the climb,viewpoint,Elgeyo-Marakwet,Keiyo South,Kaptarakwa
Waterfall forest and tea plantations view,viewpoint,Murang'a,Gatanga,Kariara
Ndonyo Uasin Campsite,camp_pitch,Samburu,Samburu East,Wamba North
Beads Museum,museum,Narok,Narok West,Siana
Christ is the Redeemer,artwork,Turkana,Turkana Central,Lodwar Township
Kioki Mwitiki,gallery,Nairobi,Dagoretti North,Kilimani
Ridge saddle,viewpoint,Nyandarua,Kipipiri,Githioro
Second picnic spot,viewpoint,Nyandarua,Kipipiri,Geta
First picnic spot,viewpoint,Nyandarua,Kipipiri,Geta
Impala observation point,viewpoint,Nairobi,Langata,Mugumu-Ini
Sunset Gate Picnic Site,picnic_site,Kisumu,Kisumu Central,Market Milimani
Mumias Cultural Center,museum,Kakamega,Mumias West,Mumias North
Kabarnet Museum,museum,Baringo,Baringo Central,Kapropita
Kitale Museum,museum,Trans Nzoia,Saboti,Matisi
Abasuba Community Peace Museum,museum,Homa Bay,Mbita,Mfangano Island
view of the Teleki volcano?,viewpoint,Samburu,Samburu North,Nyiro
Tom Mboya Statue,artwork,Nairobi,Starehe,Nairobi Central
Hannington View Point,viewpoint,Baringo,Mogotio,Kisanana
The Art Space Kenya,gallery,Nairobi,Dagoretti North,Kileleshwa
shark zone,artwork,Mombasa,Mvita,Mji Wa Kale/Makadara
Picnic Site,picnic_site,Murang'a,Mathioya,Kiru
"Angels Viewpoint, Ngarariga",viewpoint,Kiambu,Limuru,Ndeiya
Thompson's Falls,viewpoint,Laikipia,Laikipia West,Igwamiti
Mombasa marine national park offices,yes,Mombasa,Nyali,Mkomani
Hippos and crocodiles view stp,viewpoint,Narok,Narok West,Siana
Crescent Island Museum,museum,Nakuru,Naivasha,Hells Gate
Kakapel,museum,Busia,Teso North,Malaba North
Fort Jesus,museum,Mombasa,,
Ngong Hills,hiking ,Nairobi,,
Lake Nakuru Park,wildlife,Nakuru,,
Hell's Gate National Park,wildlife,Naivasha,,
Karen Blixen Museum,museum,Nairobi,,
Diani Beach,beach,Kwale,,Diani
Mount Kenya,mountain,Nanyuki,,
Sheldrick Wildlife Trust,wildlife,Nairobi,,
Lake Naivasha,lake,Nakuru,,
Ol Pejeta Conservancy,wildlife,Nanyuki,,
Kakamega Forest,forest,Kakamega,,
Thomson's Falls,waterfall,Nyahururu,,
Bomas of Kenya,culture,Nairobi,,
Lamu Old Town,Historical_Town,Lamu,,
Amboseli National Park,wildlife,Kajiado,,
Nairobi National Museum,museum,Nairobi,,
Menengai Crater,nature,Nakuru,,
Chale Island,island,Kwale,,
